,Index,Price_Gradient,Price,CH_Gradient,CH,lof
2,2017-01-02 01:03:00,2.0000000000020002e-05,1.0518029999999996,-1.3624683464040631e-06,9.498162955142021e-05,42.36777512362258
7,2017-01-02 01:08:00,-5.9999999999948976e-05,1.0517751666666662,-2.888523414248789e-06,9.517408275866709e-05,42.285812830131896
12,2017-01-02 01:13:00,-6.000000000006001e-05,1.0517273333333328,7.514137530969289e-07,9.409283771406015e-05,60.23937292868932
17,2017-01-02 01:18:00,-0.0002450000000000508,1.0516664999999994,1.7123980672565908e-05,0.00010070290429886764,72.64913160607075
22,2017-01-02 01:23:00,4.000000000015103e-05,1.0516044999999996,-1.1610967902852435e-07,0.0001274994529630205,42.69826015662155
27,2017-01-02 01:28:00,-6.000000000006001e-05,1.0515549999999996,-4.491950942154848e-06,0.00011358011665538699,43.83874753619445
32,2017-01-02 01:33:00,-2.0000000000020002e-05,1.0514941666666664,1.7578871374201513e-05,9.950175003497404e-05,80.77359684283962
37,2017-01-02 01:38:00,1.0000000000065512e-05,1.0514275,-8.120329471919402e-06,0.00015688291959860213,31.468547431268476
42,2017-01-02 01:43:00,-0.0001100000000000545,1.051378,5.607706531243222e-06,0.00014307642668023434,33.49814027807096
47,2017-01-02 01:48:00,-1.4999999999987244e-05,1.0513098333333335,-6.651529182655e-06,0.00014105395907855977,30.807199954980216
52,2017-01-02 01:53:00,-1.4999999999987244e-05,1.0512501666666667,-3.8742428992807296e-06,0.00011527292531771831,31.840154738214803
57,2017-01-02 01:58:00,-0.0005100000000000103,1.0511586666666668,0.0001032543492800974,0.0002576151102699558,120.7161934006265
62,2017-01-02 02:03:00,-0.0001100000000000545,1.050890833333333,-1.600967263042368e-05,0.0003653911005455824,30.98440967069492
67,2017-01-02 02:08:00,-1.5000000000098266e-05,1.0505730000000002,-1.6167057426407874e-05,0.00027961649022648186,40.00033330336902
72,2017-01-02 02:13:00,-2.9999999999974488e-05,1.0502781666666667,-1.2688060983864915e-05,0.0002255234814703272,35.07134652168702
77,2017-01-02 02:18:00,2.0000000000020002e-05,1.0500049999999999,-7.20156965231256e-06,0.00019279079068501315,31.90006068729705
82,2017-01-02 02:23:00,4.0000000000040004e-05,1.0497698333333336,-7.178409861182799e-06,0.0001631915056189085,34.223183598425095
87,2017-01-02 02:28:00,1.4999999999987244e-05,1.049519166666667,-6.298517031075396e-06,0.00013305490475400998,27.837110686397974
92,2017-01-02 02:33:00,7.000000000001451e-05,1.0492740000000005,-4.019685225741887e-06,0.00010905504098184436,23.580267413373956
97,2017-01-02 02:38:00,-2.0000000000020002e-05,1.0490656666666671,-6.4109278166301535e-06,0.00014323302537011052,45.56153922388794
102,2017-01-02 02:43:00,2.0000000000020002e-05,1.0488666666666668,-6.744422814586636e-07,0.00012362535783563272,60.433997982092244
107,2017-01-02 02:48:00,4.499999999996174e-05,1.0486870000000004,-1.921106798240069e-06,0.00011478379534720081,22.35624560387489
112,2017-01-02 02:53:00,4.999999999921734e-06,1.0485108333333335,2.3925244215641302e-06,0.00013533123414075063,32.89427400882286
117,2017-01-02 02:58:00,-9.999999999954491e-06,1.0483773333333335,-4.3634545269698335e-06,0.00011378115422172866,44.61660738993146
122,2017-01-02 03:03:00,5.000000000032756e-06,1.048394666666667,-2.812754624088132e-06,9.744402596034245e-05,20.21507742849967
127,2017-01-02 03:08:00,3.999999999992898e-05,1.0484600000000002,4.774258490812407e-07,9.33849819448032e-05,39.92759303512926
132,2017-01-02 03:13:00,9.500000000006724e-05,1.0485236666666669,4.199791871331648e-06,0.00010316847842243227,33.6974868310981
137,2017-01-02 03:18:00,-9.999999999954491e-06,1.0485788333333337,1.0435913509945291e-06,0.00010983380019846118,36.663634462177335
142,2017-01-02 03:23:00,-0.00015999999999993797,1.0486100000000005,3.9731072804065685e-06,9.34715990059874e-05,71.37557996515609
147,2017-01-02 03:28:00,-7.999999999996898e-05,1.0486078333333335,4.501901092655804e-08,0.00010026422584656744,43.730455008516294
152,2017-01-02 03:33:00,-8.000000000008001e-05,1.048599666666667,-2.877765797313705e-06,0.00010363986259987554,39.608360778943144
157,2017-01-02 03:38:00,3.999999999992898e-05,1.0485510000000005,-3.0643814815352815e-06,9.819566939756451e-05,30.68729150294842
162,2017-01-02 03:43:00,-4.499999999996174e-05,1.0485098333333338,-2.173553812662153e-06,9.005721522318892e-05,26.608319278017934
167,2017-01-02 03:48:00,-5.500000000002725e-05,1.048464333333334,1.490102652337548e-05,0.0001061876343461188,33.41959167609082
172,2017-01-02 03:53:00,5.500000000002725e-05,1.0484120000000003,9.238511321719336e-06,0.00014225815203937,45.62431159794937
177,2017-01-02 03:58:00,3.5000000000007254e-05,1.0483731666666671,6.517150273502103e-06,0.00015134343804301643,32.45790330893828
182,2017-01-02 04:03:00,1.4999999999987244e-05,1.0483285000000004,-5.19124649708667e-06,0.00012124767753787971,56.53330098852096
187,2017-01-02 04:08:00,-9.999999999843467e-06,1.0482800000000003,-3.2688438191530976e-06,0.00010230854620829808,33.516344964547415
192,2017-01-02 04:13:00,5.000000000032756e-06,1.0482183333333337,-2.003648184733915e-06,8.84353958701827e-05,34.91017822230862
197,2017-01-02 04:18:00,-4.500000000007276e-05,1.0481598333333335,-1.3267328572969499e-06,8.003490806957822e-05,38.885376256714366
202,2017-01-02 04:23:00,2.9999999999974488e-05,1.0481025000000006,-1.0864709941622196e-06,8.181570741495871e-05,34.249706653392984
207,2017-01-02 04:28:00,4.9999999999994487e-05,1.0480818333333342,7.409707773055777e-07,8.018770412230217e-05,29.88300735633687
212,2017-01-02 04:33:00,5.000000000032756e-06,1.0480625000000003,9.663702428031084e-07,8.365358964188413e-05,39.58669078825457
217,2017-01-02 04:38:00,3.0000000000085517e-05,1.0480360000000004,5.084643135136043e-07,8.533015312880839e-05,60.71404209182227
222,2017-01-02 04:43:00,4.0000000000040004e-05,1.048004166666667,-3.423217000296771e-07,7.890091978563254e-05,35.2094221396395
227,2017-01-02 04:48:00,-1.4999999999987244e-05,1.0479795000000005,6.291474286411147e-06,9.108060370943574e-05,63.191620098656735
232,2017-01-02 04:53:00,-1.9999999999908983e-05,1.0479533333333335,-1.0581969515527457e-06,8.313606890305306e-05,36.029746043725254
237,2017-01-02 04:58:00,5.000000000032756e-06,1.0479155000000004,4.274805896399514e-06,8.968306351775113e-05,56.10504261108111
242,2017-01-02 05:03:00,5.000000000032756e-06,1.047891166666667,4.994087273897094e-06,9.16915924408052e-05,37.93240449268588
247,2017-01-02 05:08:00,-7.499999999993623e-05,1.047856666666667,-1.5686277422056248e-06,0.00010222861337555096,51.446770239303795
252,2017-01-02 05:13:00,-0.00014500000000006177,1.0478075000000002,9.784080643960043e-06,9.269222524443832e-05,57.77290392361886
257,2017-01-02 05:18:00,-1.5000000000098266e-05,1.0477400000000003,-3.4375781015752243e-06,9.984320918830128e-05,29.769677109154546
262,2017-01-02 05:23:00,-4.9999999999994487e-05,1.047691666666667,-1.032157204177972e-06,0.00010946784630236472,30.966264792403027
267,2017-01-02 05:28:00,6.499999999998174e-05,1.0476300000000005,1.1380250305870069e-06,0.0001053020172658418,50.35197424959902
272,2017-01-02 05:33:00,-5.500000000002725e-05,1.047571666666667,-5.316579222387421e-06,0.00012693484311630294,35.407325734236125
277,2017-01-02 05:38:00,-4.9999999999994487e-05,1.0475223333333337,-3.333065730229565e-06,0.00010971907378858054,27.208073426168873
282,2017-01-02 05:43:00,8.500000000011275e-05,1.0474543333333337,3.3401653754398563e-06,0.00011572856606019684,44.9328677836895
287,2017-01-02 05:48:00,0.0,1.0473911666666669,-2.6755456286277937e-06,0.00010315649534152051,52.6002563082513
292,2017-01-02 05:53:00,0.0,1.047326,-4.75906509146994e-06,0.00011659068252006804,44.60729156711853
297,2017-01-02 05:58:00,-9.999999999954491e-06,1.047232333333333,-4.6276311945208065e-06,0.00012079537659907586,29.39333497315033
302,2017-01-02 06:03:00,0.00014000000000002902,1.047117,1.4179058777193915e-05,0.00016341093194701517,35.0695686165016
307,2017-01-02 06:08:00,5.000000000032756e-06,1.0470196666666665,-5.266147089595793e-06,0.0001466139373876768,36.759517676358655
312,2017-01-02 06:13:00,9.999999999954491e-06,1.0469358333333334,-3.4216327295008265e-06,0.0001172527320200599,45.379258635818296
317,2017-01-02 06:18:00,6.499999999998174e-05,1.0468743333333337,-1.745289770922675e-07,0.00010389994553342729,42.91078354508245
322,2017-01-02 06:23:00,0.0,1.046821166666667,1.8064832391820304e-06,0.00011531391474073918,35.071089215956874
327,2017-01-02 06:28:00,2.999999999986347e-05,1.0467713333333335,-6.7005210160818535e-06,0.0001386287673559064,48.685756260689764
332,2017-01-02 06:33:00,4.9999999999994487e-05,1.0467118333333336,-4.6417595645001285e-06,0.0001151679494691194,28.561876817280943
337,2017-01-02 06:38:00,-2.499999999994173e-05,1.046657166666667,-3.05801840745866e-06,9.888360727798976e-05,25.604702342553033
342,2017-01-02 06:43:00,2.9999999999974488e-05,1.0466135000000003,8.508210598790149e-07,9.757564455049922e-05,32.514072207134745
347,2017-01-02 06:48:00,-1.5000000000098266e-05,1.0465705000000003,-1.1787136548434805e-06,8.843210129561065e-05,47.78900930976493
352,2017-01-02 06:53:00,-1.0000000000065512e-05,1.0465445000000004,-2.030941398364772e-06,9.318117874215225e-05,32.553033478136854
357,2017-01-02 06:58:00,-2.0000000000020002e-05,1.0465485000000003,3.850355466827006e-07,9.045365618968302e-05,63.12705819631989
362,2017-01-02 07:03:00,4.999999999921734e-06,1.0465663333333342,-4.035227249966184e-07,9.222668458332316e-05,28.626409209831994
367,2017-01-02 07:08:00,-1.0000000000065512e-05,1.046574166666667,6.925677170481018e-07,8.635597741216903e-05,28.89536454364663
372,2017-01-02 07:13:00,4.999999999921734e-06,1.046599166666667,-1.8725056954962185e-06,8.854401556686495e-05,31.433868810139256
377,2017-01-02 07:18:00,7.000000000001451e-05,1.0466118333333336,6.453056604130482e-07,8.901136260973864e-05,51.09102907397267
382,2017-01-02 07:23:00,3.999999999992898e-05,1.0466201666666668,5.5053664953109635e-06,8.622137863311271e-05,52.94747209099428
387,2017-01-02 07:28:00,2.5000000000052758e-05,1.0466443333333335,-1.5445201240868505e-06,0.0001001417799429492,33.14302019149744
392,2017-01-02 07:33:00,0.0001100000000000545,1.0466863333333336,5.878579483253137e-06,9.627987999128772e-05,56.23836936089168
397,2017-01-02 07:38:00,-2.0000000000020002e-05,1.0467433333333336,-3.037697617684321e-06,0.00010057082962470507,24.21206544836792
402,2017-01-02 07:43:00,-2.9999999999974488e-05,1.046804166666667,6.2612215252162885e-06,0.00010251287936549032,63.17843991787719
407,2017-01-02 07:48:00,2.0000000000020002e-05,1.0468660000000003,-2.5109182015742776e-06,9.038049944051432e-05,26.00672757112107
412,2017-01-02 07:53:00,-8.499999999989072e-05,1.0469291666666671,-1.4344358568095609e-06,8.10214243175067e-05,38.80947614774602
417,2017-01-02 07:58:00,-1.4999999999987244e-05,1.0469818333333338,6.9628103882072635e-06,8.927995414504228e-05,53.72444964062954
422,2017-01-02 08:03:00,5.500000000002725e-05,1.0470340000000005,-2.978645557333058e-06,0.000109527772768967,32.55282891457979
427,2017-01-02 08:08:00,-4.9999999999994487e-05,1.0470795000000006,-2.223196065465548e-06,0.00011814873015375906,27.164513564024876
432,2017-01-02 08:13:00,-4.999999999921734e-06,1.0470851666666674,7.778114945153065e-06,0.00012734458998918898,32.0356335228127
437,2017-01-02 08:18:00,3.999999999992898e-05,1.0470821666666672,-3.095217431947653e-06,0.00010520406134505941,19.67402096914827
442,2017-01-02 08:23:00,5.4999999999916234e-05,1.0470803333333343,3.1394701251176056e-06,9.868752113458198e-05,25.801342461038693
447,2017-01-02 08:28:00,6.999999999990347e-05,1.0470638333333335,-2.5298702052084043e-06,9.702231912895344e-05,32.252278099264544
452,2017-01-02 08:33:00,1.0000000000065512e-05,1.047040833333334,1.1562158635007537e-06,9.94788041204644e-05,30.84678764565035
457,2017-01-02 08:38:00,-2.999999999986347e-05,1.0469750000000009,-1.8360083485682637e-06,0.00011813159249708256,51.327659445831976
462,2017-01-02 08:43:00,0.00017500000000003624,1.0469063333333335,-5.510594854526307e-07,9.854308261193756e-05,44.92527802998183
467,2017-01-02 08:48:00,2.9999999999974488e-05,1.046861333333334,-9.628500175883279e-07,0.00011509406287646687,36.93520736893856
472,2017-01-02 08:53:00,1.5000000000098266e-05,1.0468398333333335,-5.027656359910119e-06,0.0001235175981995944,37.60156232711055
477,2017-01-02 08:58:00,-2.0000000000020002e-05,1.0468190000000004,-4.832790914086067e-06,0.0001246302810493538,27.607230942914356
482,2017-01-02 09:03:00,0.0004250000000000087,1.046796666666667,-3.198603262082993e-06,0.0001034177845162224,100.70449109658067
487,2017-01-02 09:08:00,-6.499999999998174e-05,1.0468401666666671,-7.254109041227243e-06,0.00024307808017000806,58.72055460521977
492,2017-01-02 09:13:00,-5.000000000032756e-06,1.0468850000000005,2.131217492488663e-05,0.00022431261522362002,47.62366272180441
497,2017-01-02 09:18:00,-3.4999999999896225e-05,1.0469301666666673,-1.12056988897426e-05,0.00021614160580442682,40.031392062540064
502,2017-01-02 09:23:00,-5.000000000032756e-06,1.0469631666666672,-8.617362905261386e-06,0.0001648561237151265,27.19601660103707
507,2017-01-02 09:28:00,-9.999999999954491e-06,1.0469996666666674,-5.934942975384505e-06,0.00012857497155074942,31.906557024950523
512,2017-01-02 09:33:00,-0.0001100000000000545,1.0470305000000006,-2.517147964772206e-06,0.00010526746976284189,38.972034438774806
517,2017-01-02 09:40:00,8.500000000011275e-05,1.0470681666666672,-1.1134001895539273e-06,9.905297833555692e-05,39.300571824926465
522,2017-01-02 09:45:00,-0.00010500000000002174,1.0471181666666671,1.3467465301631978e-06,9.34216144694888e-05,32.84891124494727
527,2017-01-02 09:50:00,-2.5000000000052758e-05,1.0471278333333343,-1.9098328864108317e-06,9.077367177023791e-05,46.50757645280498
