Date,Count,Average_lof,Ranking_Factor
2016-01-14,228,132.1155448629229,0.5794541441356267
2016-01-20,211,124.64508486685557,0.5907349993689838
2016-01-18,213,127.1228167540323,0.596820735934424
2016-01-06,226,137.34115557037498,0.6077042281874999
2016-01-28,223,136.3685270562118,0.611518058548035
2016-01-27,205,125.99742493310465,0.6146215850395349
2016-02-01,221,127.0692448132941,0.574973958431195
2016-02-04,233,135.07976658174556,0.5797414874753029
2016-02-16,218,128.42045657758322,0.589084663199923
2016-02-03,224,132.30974399751923,0.5906684999889251
2016-02-23,216,130.87950316104448,0.6059236257455763
2016-02-10,222,134.88459958621885,0.6075882864244092
