Date,Count,Average_lof,Ranking_Factor
2013-10-17,225,143.38587030000002,0.637270534
2013-10-22,227,151.6258663,0.6679553579999999
2013-10-29,229,147.47722530000001,0.644005351
2013-10-30,232,150.3523145,0.6480703210000001
2013-10-31,215,146.8573763,0.6830575640000001
2013-11-05,207,142.47771459999998,0.688298138
2013-11-06,222,172.97445880000004,0.779164229
2013-11-11,225,170.6151455,0.7582895359999999
2013-11-18,223,154.44610659999998,0.692583437
2013-11-20,218,171.7608263,0.7878936990000001
2013-11-27,216,138.6327341,0.641818213
2013-12-04,223,152.499659,0.683854973
2013-12-12,216,139.8642956,0.6475198870000001
2013-12-16,228,150.52480690000002,0.660196521
2013-12-17,232,140.51134299999998,0.60565234
2013-12-19,222,148.0707531,0.666985374
2013-12-30,240,157.6172982,0.656738743
2014-01-02,231,138.29668930000003,0.598686967
2014-01-06,210,132.8849688,0.632785566
2014-01-14,217,131.671119,0.60677935
2014-01-21,227,140.65098569999998,0.619607867
2014-01-27,219,138.0840642,0.630520841
2014-01-30,226,141.6591122,0.626810231
2014-02-03,232,159.41396369999998,0.6871291540000001
2014-02-05,204,146.07775959999998,0.7160674490000001
2014-02-06,217,152.6840824,0.7036132829999999
2014-02-10,219,151.5749816,0.692123204
2014-02-24,210,145.0758102,0.690837191
2014-02-25,220,151.2285119,0.687402327
2014-03-05,225,153.6762622,0.68300561
2014-03-06,239,147.32115469999997,0.616406505
2014-03-18,221,146.7426718,0.66399399
2014-03-19,222,145.48966919999998,0.65535887
2014-03-20,235,149.63582240000002,0.63674818
2014-03-25,211,150.3789362,0.71269638
2014-04-09,209,157.6887659,0.754491703
2014-04-10,211,153.7931246,0.728877368
2014-04-16,210,159.0574572,0.757416463
2014-04-21,223,159.2461371,0.714108238
2014-04-24,230,171.5087436,0.7456901890000001
2014-04-30,229,164.11113930000002,0.71664253
2014-05-06,238,176.0039287,0.739512305
2014-05-12,233,158.89646919999998,0.681959095
2014-05-13,205,152.3892939,0.7433624090000001
2014-05-14,215,162.1479533,0.754176527
2014-05-26,235,157.88634380000002,0.671856782
2014-05-27,205,149.8100329,0.730780648
2014-06-09,241,150.723284,0.625407818
2014-06-17,216,162.1620219,0.750750101
2014-06-19,225,166.2365697,0.7388291990000001
2014-06-23,199,148.5747215,0.746606641
2014-06-26,228,162.3164262,0.71191415
2014-06-30,214,155.419568,0.7262596640000001
2014-07-16,225,184.9188417,0.821861519
2014-07-17,210,182.621074,0.869624162
2014-07-21,206,167.8707001,0.814906311
2014-07-23,241,171.0419562,0.7097176609999999
2014-07-24,207,165.6790123,0.800381702
2014-07-29,221,192.0075023,0.868812228
2014-08-04,225,156.7796484,0.696798437
2014-08-05,219,166.23227480000003,0.7590514829999999
2014-08-21,234,171.3178773,0.7321276809999999
2014-08-25,213,170.4363711,0.800170756
2014-08-26,216,161.40526069999999,0.7472465770000001
2014-08-28,213,171.2760701,0.804113005
2014-09-01,216,140.9905782,0.652734158
2014-09-04,231,154.58669630000003,0.669206477
2014-09-10,211,139.22154030000002,0.659817726
2014-09-17,217,146.79565530000002,0.676477674
2014-09-18,218,149.0253515,0.68360253
2014-09-23,225,147.9400452,0.657511312
2014-10-01,204,128.4034777,0.629428812
2014-10-07,236,152.135148,0.6446404579999999
2014-10-13,223,142.0098728,0.636815573
2014-10-21,226,140.5919256,0.622088166
2014-10-22,213,138.34559380000002,0.64950983
2014-10-28,210,133.605573,0.636217015
2014-11-04,224,140.0463189,0.625206781
2014-11-05,219,138.6242683,0.632987526
2014-11-10,224,142.5047689,0.636182004
2014-11-25,227,132.963518,0.58574237
2014-11-26,235,136.3583306,0.580248215
2014-11-27,219,142.438397,0.650403639
2014-12-09,219,133.41739840000002,0.609211865
2014-12-15,227,130.3983929,0.57444226
2014-12-17,222,145.0515879,0.653385531
2014-12-18,209,137.8036071,0.6593474020000001
2014-12-23,229,144.69313200000002,0.6318477379999999
2014-12-30,213,138.7394766,0.651359045
2015-01-12,224,142.1546132,0.634618809
2015-01-14,227,139.9085449,0.6163372020000001
2015-01-15,208,132.0452348,0.63483286
2015-01-19,210,136.0133536,0.647682636
2015-01-27,228,130.92771729999998,0.574244374
2015-01-29,206,134.50110980000002,0.652918009
2015-02-02,209,132.54918429999998,0.634206623
2015-02-04,232,145.3532122,0.6265224660000001
2015-02-09,220,132.4967622,0.60225801
2015-02-16,250,148.4632706,0.593853083
2015-02-25,225,140.0727119,0.622545386
2015-02-26,219,132.1865794,0.603591687
2015-03-02,223,136.0795565,0.6102222270000001
2015-03-05,224,138.9147399,0.6201550889999999
2015-03-12,230,131.45995159999998,0.571565007
2015-03-19,218,134.0520051,0.614917455
2015-03-23,217,139.50486180000001,0.642879548
2015-03-30,225,134.5222657,0.597876736
2015-04-02,218,131.3297252,0.6024299320000001
2015-04-09,218,131.2400247,0.602018462
2015-04-20,218,132.13963529999998,0.606145116
